title,year,venue_or_source,link,paper_type,insight_score,completeness_score,numeric_evidence_score,overall_label,relevance_note,quality_note
"SCTransNet: Spatial-Channel Cross Transformer Network for Infrared Small Target Detection",2024,"IEEE Transactions on Geoscience and Remote Sensing 62","https://doi.org/10.1109/TGRS.2024.3383649","pure method",4,4,4,"Risk","Exact host baseline: SCTB/SSCA mixes all encoder levels through channel-cross attention and redistributes them to decoders; any new claim must be a specific repair of this operator, not generic cross-scale fusion.","Peer-reviewed journal; stable DOI and public arXiv/code exist; inspect exact split and checkpoint protocol before numerical comparison."
"Miss Detection vs. False Alarm: Adversarial Learning for Small Object Segmentation in Infrared Images",2019,"ICCV","https://openaccess.thecvf.com/content_ICCV_2019/html/Wang_Miss_Detection_vs._False_Alarm_Adversarial_Learning_for_Small_Object_ICCV_2019_paper.html","pure method",5,4,4,"Risk","Directly establishes that miss detection and false alarm can require opposing treatment and explicitly decomposes them; blocks any broad first-to-separate-target-and-false-alarm claim.","Primary CVF proceedings page; multi-dataset experiments and explicit MD/FA formulation."
"Asymmetric Contextual Modulation for Infrared Small Target Detection",2021,"WACV","https://openaccess.thecvf.com/content/WACV2021/html/Dai_Asymmetric_Contextual_Modulation_for_Infrared_Small_Target_Detection_WACV_2021_paper.html","method + benchmark",4,4,4,"A","Introduces top-down global feedback plus bottom-up point-wise channel modulation and the SIRST dataset; close cross-level context baseline and benchmark source.","Primary CVF proceedings page; public dataset and code; dataset identity/split must be matched exactly."
"Attentional Local Contrast Networks for Infrared Small Target Detection",2021,"IEEE Transactions on Geoscience and Remote Sensing 59","https://doi.org/10.1109/TGRS.2020.3044958","pure method",4,4,4,"A","Combines an explicit local-contrast prior with bottom-up attention, so static rarity/contrast support alone is not a defensible novelty claim.","Peer-reviewed journal; DOI resolves publisher record; public arXiv and code are available."
"Dense Nested Attention Network for Infrared Small Target Detection",2023,"IEEE Transactions on Image Processing 32","https://doi.org/10.1109/TIP.2022.3199107","method + benchmark",4,5,5,"A","Dense nested cross-level interaction and cascaded channel/spatial attention preserve small targets; introduces NUDT-SIRST and target-level Pd/Fa evaluation.","Peer-reviewed journal with ablations, multiple datasets, public dataset/code and explicit metric definitions."
"ISNet: Shape Matters for Infrared Small Target Detection",2022,"CVPR","https://openaccess.thecvf.com/content/CVPR2022/html/Zhang_ISNet_Shape_Matters_for_Infrared_Small_Target_Detection_CVPR_2022_paper.html","method + benchmark",4,5,5,"A","Adds edge/shape-aware blocks and introduces IRSTD-1K; strongest source for the hard clutter benchmark and a non-routing structural baseline.","Primary CVF proceedings page; public dataset/code and extensive benchmark comparisons."
"Infrared Small Target Detection with Scale and Location Sensitivity",2024,"CVPR","https://openaccess.thecvf.com/content/CVPR2024/html/Liu_Infrared_Small_Target_Detection_with_Scale_and_Location_Sensitivity_CVPR_2024_paper.html","pure method",4,5,5,"Risk","Shows that loss design and a simple multi-scale head can materially change IRSTD performance; auxiliary router supervision cannot be presented as merely a training detail.","Primary CVF proceedings page; multi-dataset evidence, ablations and public code."
"Seeing Through the Noise: Improving Infrared Small Target Detection and Segmentation from Noise Suppression Perspective",2026,"CVPR","https://openaccess.thecvf.com/content/CVPR2026/html/Yuan_Seeing_Through_the_Noise_Improving_Infrared_Small_Target_Detection_and_CVPR_2026_paper.html","pure method",4,4,4,"Risk","Recent direct false-alarm competitor: suppresses noise through frequency-guided feature purification and spiral-aware feature fusion rather than attention projection.","Primary CVF proceedings page; recent peer-reviewed work, with IRSTD-1K and SIRST-family evidence."
"CCDNet: Learning to Detect Camouflage against Distractors in Infrared Small Target Detection",2026,"arXiv preprint","https://arxiv.org/abs/2603.29228","pure method",4,3,3,"Risk","Closest recent wording-level competitor for distractor discrimination: uses local/global contrastive target-background similarity to reduce false alarms.","Primary preprint record only as of the search date; useful novelty warning but weaker venue-status evidence."
"DEAL: Difficulty-aware Active Learning for Semantic Segmentation",2020,"ACCV","https://openaccess.thecvf.com/content/ACCV2020/html/Xie_DEAL_Difficulty-aware_Active_Learning_for_Semantic_Segmentation_ACCV_2020_paper.html","pure method",4,4,4,"Risk","Direct precedent for supervising a pixel-wise attention/difficulty branch with the error between current segmentation and ground truth.","Primary CVF proceedings page; task goal is active learning, which leaves room for a different IRSTD attention operator but forbids a generic first error-supervised-attention claim."
"EAR-NET: Error Attention Refining Network for Retinal Vessel Segmentation",2021,"DICTA","https://doi.org/10.1109/DICTA52665.2021.9647299","pure method",4,3,3,"Risk","Direct precedent for using prediction-versus-GT differences as labels for a supervised error-attention map and then refining segmentation.","Peer-reviewed IEEE conference paper; two-stage medical setting and modest breadth, but mechanism overlap is material."
"Semantic Segmentation with Reverse Attention",2017,"BMVC","https://bmva-archive.org.uk/bmvc/2017/papers/paper018/paper018.pdf","pure method",4,4,4,"Risk","Three branches learn direct, reverse and reverse-attention concepts; prevents claiming that multi-role/opposite semantic attention is new in itself.","Primary BMVA proceedings PDF; broad segmentation experiments, but no IRSTD or constrained cross-scale attention."
"Learning Dynamic Routing for Semantic Segmentation",2020,"CVPR","https://openaccess.thecvf.com/content_CVPR_2020/html/Li_Learning_Dynamic_Routing_for_Semantic_Segmentation_CVPR_2020_paper.html","pure method",5,5,5,"Risk","Establishes differentiable, input-dependent soft routing across scale-transform paths; the word routing must be qualified as spatial evidence-role allocation rather than generic dynamic routing.","Primary CVF proceedings page; strong multi-benchmark and efficiency evidence with public code."
"Sparse and Constrained Attention for Neural Machine Translation",2018,"ACL","https://aclanthology.org/P18-2059/","pure method",5,4,4,"Risk","Defines constrained softmax as the KL-nearest distribution to softmax under simplex/upper-bound constraints; generic KL/I-projected constrained attention is established prior art.","Primary ACL Anthology record and PDF; different task and constraint semantics, but exact mathematical overlap must be cited."
"FPR: False Positive Rectification for Weakly Supervised Semantic Segmentation",2023,"ICCV","https://openaccess.thecvf.com/content/ICCV2023/html/Chen_FPR_False_Positive_Rectification_for_Weakly_Supervised_Semantic_Segmentation_ICCV_2023_paper.html","pure method",4,5,5,"Risk","Uses false-positive cues and positive/negative prototypes to suppress co-occurring background activations; blocks a broad claim that online false positives as supervision are novel.","Primary CVF proceedings page; weakly supervised CAM setting differs from fully supervised IRSTD, but the false-positive-mining principle is close."
